COMPANY,Symbol,Ticker ,sector
ADANI ENTERPRISES,ADANI ENTERPRISES: ADANIGREEN, ADANIGREEN,MISCELLANEOUS
ADANI PORTS & SEZ,ADANI PORTS & SEZ: ADANIPORTS, ADANIPORTS,MISCELLANEOUS
APOLLO HOSPITALS,APOLLO HOSPITALS: APOLLOHOSP, APOLLOHOSP,MISCELLANEOUS
ASIAN PAINTS,ASIAN PAINTS: ASIANPAINT, ASIANPAINT,PAINTS
AXIS BANK,AXIS BANK: AXISBANK, AXISBANK,BANKING
BAJAJ AUTO,BAJAJ AUTO: BAJAJ-AUTO, BAJAJ-AUTO,AUTOMOBILES
BAJAJ FINANCE,BAJAJ FINANCE: BAJFINANCE, BAJFINANCE,FINANCE
BAJAJ FINSERV,BAJAJ FINSERV: BAJAJFINSV, BAJAJFINSV,FINANCE
BHARAT ELECTRONICS,BHARAT ELECTRONICS: BEL, BEL,DEFENCE
BHARTI AIRTEL,BHARTI AIRTEL: AIRTEL, AIRTEL,TELECOM
BPCL,BPCL: BPCL, BPCL,ENERGY
CIPLA,CIPLA: CIPLA, CIPLA,PHARMACEUTICALS
COAL INDIA,COAL INDIA: COALINDIA, COALINDIA,MINING
DR. REDDYS LAB,DR. REDDYS LAB: DRREDDY, DRREDDY,PHARMACEUTICALS
EICHER MOTORS,EICHER MOTORS: EICHERMOT, EICHERMOT,AUTOMOBILES
GRASIM,GRASIM: GRASIM, GRASIM,TEXTILES
HCL TECHNOLOGIES,HCL TECHNOLOGIES: HCLTECH, HCLTECH,SOFTWARE
HDFC BANK,HDFC BANK: HDFCBANK, HDFCBANK,BANKING
HDFC LIFE INSURANCE,HDFC LIFE INSURANCE: HDFCLIFE, HDFCLIFE,INSURANCE
HERO MOTOCORP,HERO MOTOCORP: HEROMOTOCO, HEROMOTOCO,AUTOMOBILES
HINDALCO,HINDALCO: HINDALCO, HINDALCO,ALUMINIUM
HINDUSTAN UNILEVER,HINDUSTAN UNILEVER: HINDUNILVR, HINDUNILVR,FMCG
ICICI BANK,ICICI BANK: ICICIBANK, ICICIBANK,BANKING
INDUSIND BANK,INDUSIND BANK: INDUSINDBK, INDUSINDBK,BANKING
INFOSYS,INFOSYS: INFY, INFY,SOFTWARE
IOC,IOC: IOC, IOC,ENERGY
ITC,ITC: ITC, ITC,FOOD & TOBACCO
JSW STEEL,JSW STEEL: JSWSTEEL, JSWSTEEL,STEEL
KOTAK MAHINDRA BANK,KOTAK MAHINDRA BANK: KOTAKBANK, KOTAKBANK,BANKING
L&T,L&T: LT, LT,ENGINEERING
M&M,M&M: M&M, M&M,AUTOMOBILES
MARUTI SUZUKI,MARUTI SUZUKI: MARUTI, MARUTI,AUTOMOBILES
NESTLE,NESTLE: NESTLEIND, NESTLEIND,FOOD & TOBACCO
NTPC,NTPC: NTPC, NTPC,POWER
ONGC,ONGC: ONGC, ONGC,ENERGY
POWER GRID,POWER GRID: POWERGRID, POWERGRID,POWER
RELIANCE IND.,RELIANCE IND.: RELIANCE, RELIANCE,ENERGY
SBI,SBI: SBIN, SBIN,BANKING
SBI LIFE INSURANCE,SBI LIFE INSURANCE: SBILIFE, SBILIFE,INSURANCE
SHRIRAM FINANCE,SHRIRAM FINANCE: SHRIRAMFIN, SHRIRAMFIN,FINANCE
SUN PHARMA,SUN PHARMA: SUNPHARMA, SUNPHARMA,PHARMACEUTICALS
TATA CONSUMER,TATA CONSUMER: TATACONSUMER, TATACONSUMER,FMCG
TATA MOTORS,TATA MOTORS: TATAMOTORS, TATAMOTORS,AUTOMOBILES
TATA STEEL,TATA STEEL: TATASTEEL, TATASTEEL,STEEL
TCS,TCS: TCS, TCS,SOFTWARE
TECH MAHINDRA,TECH MAHINDRA: TECHM, TECHM,SOFTWARE
TITAN,TITAN: TITAN, TITAN,RETAILING
TRENT,TRENT: TRENT, TRENT,RETAILING
ULTRATECH CEMENT,ULTRATECH CEMENT: ULTRACEMCO, ULTRACEMCO,CEMENT
WIPRO,WIPRO: WIPRO, WIPRO,SOFTWARE
